SYMBOL,Norm.y.1,Tumour_24h_5micromol_Capryloylsalicylic_acid,Norm.y,Tumour_24h_10micromol_Capryloylsalicylic_acid.y,Norm.x.2,Tumour_48h_5micromol_Capryloylsalicylic_acid,Norm.x.1,Tumour_48h_10micromol_Capryloylsalicylic_acid
CPPED1,83.1570385548,75.9779385248,83.1570385548,59.9000314026,62.637091467,56.4555227718,62.637091467,53.5615042856
CPS1,96.3815139394,112.978675223,96.3815139394,113.638502051,124.553258789,117.528812509,124.553258789,84.4596749272
CPSF1,70.1665099761,65.8697137577,70.1665099761,70.6444782334,72.8760604835,78.7715883803,72.8760604835,78.2066299011
CPSF2,327.930539035,328.743888069,327.930539035,301.205713112,285.749527103,296.851881213,285.749527103,277.410909637
CPSF3,425.310036681,438.892899746,425.310036681,366.751136892,415.122839361,375.908664533,415.122839361,312.811977485
CPSF3L,108.231562671,101.883653123,108.231562671,90.3868883217,95.4838118684,102.454141294,95.4838118684,87.7323126268
CPSF4,289.638950843,300.320028051,289.638950843,267.595768172,254.91571784,301.945110628,254.91571784,303.491192649
CPSF6,215.08043947,212.816983255,215.08043947,225.255647934,201.907532783,220.098012725,201.907532783,224.473621314
CPSF7,127.03366666,114.36554491,127.03366666,119.17587646,130.093038025,128.219162809,130.093038025,130.126471457
CPT1A,63.29737238,87.9681807802,63.29737238,93.2715871339,51.2814435499,71.5474963339,51.2814435499,90.5366861223
CPT1C,19.5518371123,23.6259206665,19.5518371123,25.5123860539,26.8065194962,21.4598317687,26.8065194962,22.4376515998
CPT2,162.526881319,213.438612119,162.526881319,201.297332602,182.201169939,228.380779769,182.201169939,197.427343253
CPVL,11.0339447418,9.77991206239,11.0339447418,11.2717783582,11.1007130958,11.507832685,11.1007130958,10.3474812667
CPXCR1,11.0375627786,11.4647889943,11.0375627786,11.5630177686,12.1026865311,11.8665627514,12.1026865311,11.6580921917
CPXM1,20.7485023098,16.1839151264,20.7485023098,19.6871762096,20.1270148147,18.8934391929,20.1270148147,21.3932750711
CPXM2,17.9358936284,18.1051847089,17.9358936284,17.8989473287,17.5673700158,17.6891039886,17.5673700158,17.7374903962
CPZ,15.3557496021,16.6606544595,15.3557496021,12.9514122203,16.3605160418,18.0208702195,16.3605160418,14.5855627376
CR1,15.4131464464,15.0054711607,15.4131464464,14.1713757457,15.0022243018,14.1992454236,15.0022243018,14.752740782
CR1 ,10.5501368304,11.2606608168,10.5501368304,10.5367460639,10.1908600332,11.1626850938,10.1908600332,10.9198696286
CR1L,12.5232815349,13.7897115979,12.5232815349,16.5013770385,16.3989967418,14.5421985386,16.3989967418,14.9475785487
CR2,17.1518628983,15.5304900635,17.1518628983,16.4502048402,16.2105575809,16.9501962994,16.2105575809,16.4998821249
CRABP1,22.3972640329,21.8069863458,22.3972640329,19.5311384178,20.5407981572,20.9155569977,20.5407981572,23.030470201
CRABP2,33.370560214,46.8350606216,33.370560214,63.9764966461,78.3220060446,190.142234902,78.3220060446,92.8946650365
CRADD,97.3869577352,92.2256049039,97.3869577352,128.785021331,108.79094757,113.131140432,108.79094757,114.96715748
CRAMP1L,26.8776661516,26.4055628928,26.8776661516,28.871401163,27.6612960139,29.9871759465,27.6612960139,31.2574574265
CRAT,104.934131474,104.590127733,104.934131474,125.438202525,154.769713325,168.741545493,154.769713325,145.702537532
CRB1,16.7386347244,14.7842184373,16.7386347244,15.3529394469,15.6286037715,15.0209716224,15.6286037715,18.1725909581
CRB2,13.3016594179,13.0494347982,13.3016594179,13.1530151082,11.5842777544,12.4989245486,11.5842777544,11.8001183124
CRB3,66.9382438934,60.4666452488,66.9382438934,80.1549463742,70.8401774053,82.0119638356,70.8401774053,116.314699171
CRBN,143.873281236,152.76409414,143.873281236,168.894247412,175.079999309,162.91993274,175.079999309,192.798042291
CRCP,177.765515161,189.55675049,177.765515161,189.325730652,178.730961223,186.525732414,178.730961223,205.448434209
CRCT1,44.5901099961,40.8706356035,44.5901099961,64.9637425496,62.8097636318,90.8746665083,62.8097636318,81.0069148946
CREB1,213.01711868,185.415371406,213.01711868,175.360481195,218.983849033,181.689417565,218.983849033,137.342365559
CREB3,260.754831718,229.468024318,260.754831718,244.931828145,265.300952838,208.18137171,265.300952838,213.52673199
CREB3L1,18.5012102433,19.039675044,18.5012102433,18.2726940485,17.3617795079,19.0276652954,17.3617795079,16.9826349338
CREB3L2,69.7766400507,58.5744754888,69.7766400507,68.819662746,59.3279578718,66.8979115237,59.3279578718,72.638378384
CREB3L3,13.875594823,11.8867276192,13.875594823,12.2070671251,11.7718364313,12.1702817687,11.7718364313,13.6344343477
CREB3L4,58.897706171,61.6890930435,58.897706171,49.6467089982,75.4994568947,60.2769855599,75.4994568947,65.992556297
CREB5,36.0502594683,39.0277836117,36.0502594683,51.3887558924,40.1701129637,48.7112154151,40.1701129637,47.6813640372
